Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Norm.Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF,Mean.Activity.n.3..UHTS,SE.UHTS,Max.Activity.UHTS
2352446,46.1,86.2,97.4,97.4,76.6,22,12.71503756,37.39,1.16,55.8
2352869,232.9,239.5,216.3,239.5,229.6,9.7,5.627456371,67.94,3.74,95.31
2354140,25.5,62.2,62.6,62.6,50.1,17.4,10.04241697,45.86,4.24,66.34
2370316,85.3,78.6,67.9,85.3,77.2,7.2,4.134731204,48.46,2.46,74.22
2370436,180.7,143.7,136.5,180.7,153.6,19.3,11.16610346,48.01,0.77,103.02
2372368,414.3,428.6,402.8,428.6,415.2,10.5,6.088089937,178.82,0.37,301.22
2373199,68,84.9,81.8,84.9,78.2,7.3,4.242330976,55.95,1.67,88.26
2374036,20,18.7,29.7,29.7,22.8,4.9,2.817453022,47.87,1.14,33.59
2378956,175.6,180.2,183.2,183.2,179.7,3.1,1.806125521,78.53,1.51,106.15
2379402,16.7,13.1,11,16.7,13.6,2.4,1.36252863,69.34,2.5,60.47
2379718,161.5,200.8,188.3,200.8,183.5,16.4,9.450074945,63.34,2.25,118.43
2380966,269.3,273.6,243.8,273.6,262.2,13.1,7.57488772,69.98,0.62,141.36
2382061,33.7,50.4,35,50.4,39.7,7.6,4.390977841,35.43,2.5,44.04
2382439,115.7,128.3,113.3,128.3,119.1,6.6,3.792839077,42.26,5.12,65.38
2388451,72.1,93.6,76.9,93.6,80.8,9.2,5.317228986,53.14,1.58,59.84
2390472,259.7,237.5,239.6,259.7,245.6,10,5.762308177,100.88,2.39,115.18
2393155,96.7,77.6,98.2,98.2,90.8,9.4,5.412178784,71.01,4.23,143.19
2395712,86,63.3,70.3,86,73.2,9.5,5.47520478,34.81,1.38,28.51
2396300,409.6,439.7,402.2,439.7,417.2,16.2,9.349388052,157.93,9.31,196.71
2402758,314,377.4,361.8,377.4,351.1,27,15.57343028,86.66,2.28,176.12
2403329,76.5,69.7,68.6,76.5,71.6,3.5,2.016628226,35.66,0.96,37.29
2409187,86.9,72.5,66.5,86.9,75.3,8.6,4.954181637,57.73,0.61,73.98
2414258,62.3,74.2,72.3,74.2,69.6,5.2,3.021392437,62.6,3.62,79.33
2414259,82.3,87.3,94.1,94.1,87.9,4.9,2.801303806,41.87,1.49,54.3
2414271,171.9,186.9,179.3,186.9,179.4,6.1,3.534743619,64.01,0.97,109.08
2415705,194.3,237.4,217.1,237.4,216.3,17.6,10.16945261,66.26,2.89,186.49
2415708,135.6,167.3,164.5,167.3,155.8,14.3,8.275733596,49.83,1.69,130.07
2415861,86.9,62.2,60.3,86.9,69.8,12.1,6.983215681,34.51,3.07,70.25
2430558,235.4,238,252.7,252.7,242,7.6,4.388057888,227.08,9.82,315.56
2432437,49,65.5,60.9,65.5,58.5,7,4.033585437,40.5,0.67,31.51
2432440,133.7,154.5,148.7,154.5,145.6,8.8,5.079799631,70.48,1.95,50.74
2436198,681.9,589.1,577.4,681.9,616.2,46.8,27.00375834,299.43,16.92,385.38
2441732,189.9,202.1,201.9,202.1,198,5.7,3.307605338,68.12,2.13,69.18
2445846,117.2,147.2,143.8,147.2,136.1,13.4,7.754303929,38.28,1.66,53.06
2445847,6.1,7.6,10.5,10.5,8,1.8,1.051676184,58.05,2.87,64.15
2455549,586.8,494.3,499.4,586.8,526.8,42.5,24.52227562,118.7,3.15,203.42
2456926,122,122.9,118,122.9,121,2.1,1.222287058,40.17,1.25,40.01
2457591,254.1,223.4,180.6,254.1,219.4,30.1,17.39907295,74.14,1.77,239.01
2458563,387.8,339.7,328.9,387.8,352.1,25.6,14.77865483,132.08,6.11,235.73
2462077,11,8.2,10.7,11,10,1.2,0.721162312,75.41,2.38,82.98
2463629,304.8,263.3,258.9,304.8,275.7,20.7,11.94126922,80.28,2.71,160.64
2468787,49.3,60.8,45.2,60.8,51.8,6.6,3.821708197,45.36,1.83,42.42
2469310,0.7,2.7,3.4,3.4,2.3,1.1,0.658142229,56.08,1.05,78.83
2473689,5.1,7.4,4.1,7.4,5.5,1.4,0.782129568,41.91,2.47,30.62
2477057,183,158.2,151.4,183,164.2,13.6,7.830855891,92.16,3.87,127.58
2479706,113.1,99.4,110.1,113.1,107.5,5.9,3.383862215,34.68,1.08,40.31
2482333,10.5,13.3,12.1,13.3,12,1.1,0.65901738,79.96,2.13,93.2
2482935,328.6,281.2,266.4,328.6,292.1,26.6,15.32895432,70.94,2.79,129.99
2482953,81.6,78.5,85.2,85.2,81.8,2.7,1.587662574,41.58,0.37,74.22
2483399,280.1,337.6,339.2,339.2,318.9,27.5,15.87517376,94.51,2.21,174.15
2483402,145.2,153.1,154.2,154.2,150.8,4,2.295639567,39.7,0.32,63.46
2483420,152.1,144.2,174.5,174.5,156.9,12.9,7.427943493,45,0.45,56.34
2483422,139.4,136.5,136.5,139.4,137.5,1.4,0.789423967,50.95,0.45,53.02
2483645,336.2,344.2,372.5,372.5,351,15.5,8.973741754,131.28,5.52,136.68
2483680,93.4,76.4,69.3,93.4,79.7,10.1,5.853130721,53.43,2.11,69.6
2490765,103.1,90.4,86.2,103.1,93.2,7.2,4.144663176,43.79,0.65,91.14
2494646,402.6,422.6,437.6,437.6,420.9,14.3,8.282291061,176.66,1.32,212.03
2499218,29.9,25.1,30.9,30.9,28.6,2.5,1.443663159,34.25,0.91,61.37
2500705,68.6,91.5,65.1,91.5,75.1,11.7,6.763307931,49.88,4.77,64.71
2500739,62.9,61.4,31.9,62.9,52,14.3,8.236183851,44.31,1.86,26.92
2500751,204.8,194.2,184,204.8,194.3,8.5,4.899654617,54.24,1.11,53.42
2500767,72.5,59.2,61.4,72.5,64.4,5.8,3.368641533,58.75,1.69,62.7
2500773,55.7,73.1,69.5,73.1,66.1,7.5,4.338690345,55.46,2.02,37.56
2500779,65.5,79.3,81.8,81.8,75.5,7.2,4.143995778,37.34,1.48,56.79
2500792,183.4,205.4,203.5,205.4,197.4,10,5.7697678,99.99,2.88,83.05
2500857,70.9,95.9,83.2,95.9,83.3,10.2,5.904534468,34.93,1.45,40.29
2502330,57.6,70.7,53.1,70.7,60.5,7.4,4.293293332,38.54,0.72,51.2
2503563,208.7,159.7,176.4,208.7,181.6,20.3,11.73664635,36.98,2.84,63.99
2505491,225.3,220.7,209,225.3,218.4,6.9,3.959720529,64.19,2.29,168.31
2509148,39,53.2,39.7,53.2,44,6.5,3.760612161,48.02,5.09,35.73
2509717,136.9,132.1,130.6,136.9,133.2,2.7,1.544958689,44.49,0.92,71.53
2513125,116.1,119.9,107.9,119.9,114.6,5,2.895073065,33.5,2.87,33.14
2514822,64.4,58.5,70,70,64.3,4.7,2.707821226,33.58,2.29,29.58
2537777,12.8,8.9,8.7,12.8,10.1,1.9,1.074285154,42.23,0.61,56.41
2537780,-2,3.5,4.8,4.8,2.1,3,1.705041262,37.29,1.42,64.95
2537789,86.6,104.4,51.9,104.4,81,21.8,12.58506605,41.05,4.34,88.07
2538695,11.3,6.5,9.3,11.3,9.1,2,1.141278684,83.19,1.1,153.45
2540926,58.1,60.6,67,67,61.9,3.7,2.163075347,45.48,1.24,44.55
2542524,107.3,121.9,115.8,121.9,115,6,3.468750488,59.15,4.53,87.77
2544027,156,123.8,137.5,156,139.1,13.2,7.627171839,34.66,0.72,76.97
2547931,57.7,67.8,76.1,76.1,67.2,7.5,4.334105941,39.48,1.85,44.55
2547940,76.9,65.3,67.1,76.9,69.8,5.1,2.943682569,49.07,3.11,37.17
2549632,550.2,503.6,458.3,550.2,504.1,37.5,21.65502388,174.57,12.48,225.83
2553901,81.5,80.2,82,82,81.2,0.8,0.433557532,35.54,1.43,48.28
2564546,122.2,108,115.9,122.2,115.4,5.8,3.353314019,90.32,2.83,89.48
2564726,84.8,89.7,83.4,89.7,85.9,2.7,1.55802545,47.95,1.07,44.15
2580903,120.3,116,131,131,122.5,6.3,3.639170494,38.5,1.11,51.17
2581220,150.4,134.6,142.3,150.4,142.4,6.5,3.741057491,91.16,4.14,130.56
2581292,117,106.8,109.2,117,111,4.4,2.525020342,35.36,1.37,21.61
2581943,435.1,386.7,422.2,435.1,414.7,20.5,11.81761127,79.16,2.94,92.92
2583712,6.2,12.9,12.1,12.9,10.4,3,1.740024663,42.3,3.13,30.17
2587242,161.6,221.8,198.3,221.8,193.9,24.8,14.29854171,65.49,4.75,148.88
2588121,109.9,128.5,121.4,128.5,119.9,7.7,4.436092084,57.49,1.23,77.62
2655647,295,278.4,316.6,316.6,296.7,15.6,9.034828381,80.87,2.64,93.68
2656357,215.5,183.7,119.9,215.5,173.1,39.7,22.94430534,90.57,0.77,123.34
2658899,92.2,90.5,90,92.2,90.9,0.9,0.542330714,34.02,1.45,89.75
2670694,83.4,94.3,83,94.3,86.9,5.2,3.012456673,48.62,18.9,81.46
2671495,285.1,272.6,289.5,289.5,282.4,7.2,4.153447944,92.26,2.68,69.17
2675761,277.4,272.8,280.2,280.2,276.8,3,1.76035513,46.66,1.43,63.48
2675881,144.1,141.4,159.5,159.5,148.3,8,4.598860318,55.51,2.07,58.09
2676177,251.1,236.4,251.1,251.1,246.2,7,4.019984488,85.74,2.08,88.65
2678858,404.1,333.3,344.6,404.1,360.7,31.1,17.93391186,128.09,3.55,187.95
2705843,169.8,147.5,170.6,170.6,162.7,10.7,6.170392212,50.58,0.95,95.47
2708301,113,122,133.2,133.2,122.7,8.3,4.780008957,56.99,2.66,103.83
2708599,135,138.4,165.5,165.5,146.3,13.6,7.878244548,33.78,2.81,75.17
2713887,264.1,239.7,231.1,264.1,245,14,8.0886582,87.14,3.57,97.17
2716993,106.3,99.7,94.9,106.3,100.3,4.6,2.681486578,35.68,0.63,39.35
2717564,114.1,98.8,98.6,114.1,103.8,7.2,4.181200024,54.67,1.76,58.21
2718686,88.7,107.1,114.8,114.8,103.6,10.9,6.311699482,36.23,1.13,58.54
2909811,65.8,72.6,61.9,72.6,66.7,4.4,2.56258758,39.68,1.04,41.01
2911435,63.4,78,77,78,72.8,6.7,3.839966373,35.4,1.26,61.9
2912332,90.5,81.1,79.6,90.5,83.8,4.8,2.790213465,89.34,2.31,97.57
2917254,85.5,92.9,86.4,92.9,88.3,3.3,1.915036021,64.03,1.43,87.81
2929640,81.6,78.7,71.5,81.6,77.2,4.2,2.434936692,98.49,8.31,121.12
2934343,161.4,140.1,120.7,161.4,140.7,16.6,9.608054491,51.44,2.12,88.15
2937212,158.1,162.9,152.5,162.9,157.9,4.2,2.452431684,36.01,1.25,71.55
3155993,189.1,332.1,283.2,332.1,268.2,59.4,34.27328182,40.31,0.72,103.75
3168217,203.7,188.1,181,203.7,190.9,9.4,5.455809686,68.72,2.46,85.65
3172312,123.6,142.7,110.5,142.7,125.6,13.2,7.634795534,113.14,4.11,146.17
